chroma_energy,mfcc,chroma_stft,zero_crossing_rate,spectral_centroid,spectral_rolloff,genre
0.253,-3.867,0.461,0.027,1290.104,2642.124,blues
0.241,-3.431,0.462,0.024,1215.806,2480.625,blues
0.23,-3.453,0.456,0.023,1119.174,2179.16,blues
0.237,-3.179,0.439,0.02,963.008,1787.256,blues
0.229,-2.488,0.43,0.019,1039.456,1905.688,blues
0.227,-3.817,0.43,0.017,1069.567,1970.288,blues
0.227,-2.569,0.439,0.015,1057.807,1933.682,blues
0.209,-3.819,0.187,0.028,1383.978,2975.889,blues
0.225,-0.747,0.175,0.026,1256.572,2502.158,blues
0.211,-2.962,0.175,0.027,1415.908,3014.648,blues
0.206,-3.814,0.182,0.026,1488.242,3387.173,blues
0.202,-3.469,0.18,0.026,1415.625,3389.326,blues
0.206,-2.745,0.181,0.025,1429.296,3425.933,blues
0.208,-2.276,0.181,0.026,1421.695,3552.979,blues
0.194,-4.861,0.189,0.027,1501.477,3779.077,blues
0.198,-3.202,0.187,0.027,1613.511,4246.348,blues
0.192,-3.87,0.186,0.029,1574.718,4233.428,blues
0.227,-1.68,0.298,0.012,939.251,1630.063,blues
0.228,-3.225,0.313,0.013,718.198,1085.273,blues
0.232,-1.309,0.303,0.012,903.243,1561.157,blues
0.233,-2.809,0.306,0.013,837.704,1363.052,blues
0.223,-1.384,0.317,0.012,977.293,1785.103,blues
0.239,-5.117,0.331,0.012,823.639,1319.985,blues
0.231,-3.457,0.347,0.012,1192.701,2437.559,blues
0.245,-2.438,0.358,0.012,971.21,1854.009,blues
0.248,-2.897,0.358,0.012,1079.866,2103.794,blues
0.262,-2.697,0.378,0.012,999.338,1929.375,blues
0.247,-14.952,0.177,0.036,1165.568,2071.494,blues
0.237,-15.348,0.159,0.038,1249.37,2422.485,blues
0.247,-16.509,0.16,0.037,1120.456,2013.354,blues
0.248,-15.501,0.16,0.039,1501.49,3247.207,blues
0.26,-16.257,0.173,0.042,1496.041,3225.674,blues
0.266,-15.434,0.192,0.042,1447.133,3085.708,blues
0.263,-15.554,0.229,0.045,1598.128,3397.939,blues
0.268,-15.689,0.248,0.047,1612.484,3505.605,blues
0.267,-16.606,0.262,0.051,1730.33,3850.137,blues
0.27,-16.471,0.286,0.05,1691.663,3794.15,blues
0.241,-3.008,0.43,0.018,1004.09,1918.608,blues
0.232,-4.156,0.448,0.017,1230.63,2407.412,blues
0.24,-4.326,0.46,0.017,1097.628,2110.254,blues
0.244,-4.427,0.421,0.018,1178.243,2205.0,blues
0.233,-4.644,0.438,0.02,1401.005,2728.257,blues
0.234,-4.848,0.431,0.023,1382.751,2683.037,blues
0.232,-4.551,0.404,0.024,1387.64,2560.298,blues
0.25,-4.305,0.406,0.026,1493.915,2872.529,blues
0.233,-4.794,0.401,0.026,1652.455,3568.052,blues
0.238,-4.365,0.373,0.026,1709.89,3725.244,blues
0.17,-9.215,0.316,0.026,962.715,1582.69,blues
0.173,-9.691,0.329,0.026,1180.284,2133.94,blues
0.173,-9.637,0.295,0.025,1182.219,2026.274,blues
0.182,-8.89,0.332,0.026,1241.155,2243.76,blues
0.175,-9.487,0.296,0.025,1027.19,1642.983,blues
0.17,-12.011,0.337,0.025,1028.49,1623.604,blues
0.191,-9.281,0.295,0.024,1274.789,2431.099,blues
0.185,-10.235,0.31,0.024,1086.255,1851.855,blues
0.184,-10.054,0.322,0.024,1107.491,1965.981,blues
0.18,-10.397,0.3,0.024,951.723,1500.864,blues
0.279,3.12,0.511,0.096,2867.05,5975.464,blues
0.277,3.743,0.519,0.092,2790.156,5936.704,blues
0.277,4.175,0.495,0.081,2605.725,5600.786,blues
0.276,4.2,0.494,0.072,2502.079,5402.681,blues
0.277,4.423,0.459,0.074,2265.927,5096.909,blues
0.278,4.803,0.416,0.079,2277.529,5058.149,blues
0.278,4.88,0.41,0.08,2250.085,4997.856,blues
0.277,4.719,0.404,0.084,2246.08,4969.863,blues
0.272,4.454,0.393,0.087,2216.957,4885.884,blues
0.271,3.902,0.392,0.091,2223.044,4836.357,blues
0.25,3.032,0.435,0.034,1742.827,4459.526,blues
0.251,2.72,0.452,0.033,1816.202,4625.332,blues
0.243,2.869,0.452,0.033,1692.877,4282.954,blues
0.23,3.1,0.464,0.033,1716.975,4349.707,blues
0.247,2.928,0.509,0.033,1720.68,4319.561,blues
0.223,2.514,0.456,0.034,1709.798,4295.874,blues
0.221,2.9,0.465,0.034,1734.791,4375.547,blues
0.226,2.616,0.416,0.034,1775.094,4474.6,blues
0.223,2.376,0.415,0.035,1718.799,4278.647,blues
0.232,2.704,0.411,0.035,1725.449,4298.027,blues
0.248,4.724,0.45,0.064,2393.459,5553.413,blues
0.26,4.987,0.443,0.066,2418.553,5555.566,blues
0.259,5.15,0.409,0.056,2304.784,5424.214,blues
0.239,5.187,0.393,0.053,2225.556,5338.081,blues
0.23,5.139,0.4,0.054,2210.358,5374.688,blues
0.222,4.615,0.384,0.057,2243.994,5424.214,blues
0.205,4.805,0.385,0.054,2218.279,5394.067,blues
0.221,4.157,0.379,0.052,2245.411,5396.221,blues
0.233,4.178,0.37,0.052,2195.905,5355.308,blues
0.221,4.454,0.36,0.053,2196.339,5363.921,blues
0.267,3.63,0.476,0.053,1854.622,4235.581,blues
0.261,3.359,0.444,0.053,1836.743,4162.368,blues
0.256,2.922,0.469,0.055,1831.812,4162.368,blues
0.259,3.05,0.45,0.055,1815.401,4093.462,blues
0.263,2.463,0.424,0.055,1866.411,4194.668,blues
0.269,2.442,0.454,0.053,1807.124,4035.322,blues
0.264,2.274,0.44,0.054,1816.729,4028.862,blues
0.261,2.412,0.439,0.054,1734.782,3809.224,blues
0.27,2.058,0.449,0.052,1778.152,3957.803,blues
0.263,1.886,0.515,0.051,1765.947,3815.684,blues
0.271,5.901,0.405,0.095,2941.919,6589.16,blues
0.27,5.835,0.407,0.097,3013.539,6683.906,blues
0.255,5.464,0.368,0.102,3042.489,6722.666,blues
0.23,4.955,0.375,0.105,3126.551,6782.959,blues
0.251,3.999,0.336,0.106,3263.609,6864.785,blues
0.237,3.81,0.333,0.104,3296.513,6907.852,blues
0.237,3.196,0.354,0.107,3208.006,6856.172,blues
0.233,2.998,0.345,0.11,3208.906,6836.792,blues
0.247,3.207,0.357,0.111,3248.565,6836.792,blues
0.248,2.696,0.374,0.119,3272.59,6860.479,blues
0.278,2.57,0.635,0.026,1420.895,3697.251,blues
0.277,2.737,0.619,0.025,1330.204,3639.111,blues
0.28,2.393,0.565,0.03,1374.776,3619.731,blues
0.279,2.683,0.592,0.031,1368.794,3585.278,blues
0.277,2.256,0.584,0.03,1302.643,3514.219,blues
0.276,1.805,0.597,0.03,1292.192,3369.946,blues
0.276,2.665,0.518,0.031,1424.601,3535.752,blues
0.276,2.382,0.546,0.031,1455.569,3576.665,blues
0.266,1.592,0.499,0.03,1336.83,3376.406,blues
0.242,0.653,0.483,0.031,1365.689,3393.633,blues
0.217,1.45,0.303,0.013,1456.323,3964.263,blues
0.218,2.031,0.284,0.012,1536.394,4095.615,blues
0.213,1.607,0.281,0.013,1491.117,4054.702,blues
0.219,1.161,0.269,0.013,1408.69,3740.317,blues
0.217,1.019,0.275,0.013,1448.666,3796.304,blues
0.225,1.261,0.274,0.013,1486.217,3947.036,blues
0.193,1.041,0.279,0.013,1359.657,3604.658,blues
0.193,1.268,0.275,0.012,1472.33,3916.89,blues
0.194,0.45,0.281,0.012,1464.424,3938.423,blues
0.194,0.223,0.275,0.012,1416.978,3847.983,blues
